token,score
oppress,27.470179404695877
prosper,27.398034764684823
zadok,27.27051491338977
marri,27.2296223018109
poor,27.220177646607116
deceiv,27.07317304898838
fourth,27.04402816424841
naked,26.976117716767725
forbid,26.92918977273774
godli,26.92918977273774
mizpah,26.9024014100022
shimei,26.9024014100022
bone,26.844072537220896
drink,26.82211219772799
job,26.775426906941505
subservi,26.763410040127756
multipli,26.62003127693425
desir,26.606226357955265
thresh,26.604745761647614
satisfi,26.587014348188692
execut,26.57495327801642
loss,26.47594721680869
reform,26.448333589115357
partak,26.430358291573697
easi,26.430358291573697
greatest,26.41454983037852
fulfil,26.400612340476528
benaiah,26.229841374752148
pronounc,26.229841374752148
wife,26.170297827135116
purpos,26.05349773494615
ordin,26.005240547175134
destroy,25.998271949317832
portion,25.98253342719548
sick,25.968455847895
affair,25.96037835957579
asa,25.939259563384965
josiah,25.939259563384965
harm,25.789060335786246
clean,25.730048923764443
asher,25.67169205335901
stronghold,25.67169205335901
ring,25.65766057029704
hadad,25.55728133950209
concubin,25.55728133950209
pole,25.55728133950209
cart,25.55728133950209
shemaiah,25.55728133950209
beast,25.47440914317749
swore,25.36062077275018
today,25.328446337137073
seal,25.326516723247188
plan,25.326516723247188
sixti,25.31279341658501
carv,25.31279341658501
mecca,25.276553926787322
authorit,25.276553926787322
lesson,25.276553926787322
indec,25.276553926787322
resist,25.276553926787322
mislead,25.276553926787322
antioch,25.276553926787322
countri,25.2719823424127
branch,25.176132158871617
plagu,25.06178748739444
suppos,25.023399158363013
naphtali,24.999216200709615
idol,24.991475982312274
vaniti,24.884721304252032
dismay,24.884721304252032
ai,24.884721304252032
fatherless,24.884721304252032
seir,24.884721304252032
snare,24.717906196994427
deep,24.687642932147448
belong,24.68502480102793
pursu,24.637580034260104
lust,24.625619632767048
return,24.624452982234004
began,24.565087964484544
upright,24.49127716353317
horsemen,24.34133645774871
shout,24.34106685038843
issachar,24.33129054910801
balak,24.33129054910801
woven,24.33129054910801
merari,24.21216126900198
ben,24.21216126900198
remov,24.204288738249183
obtain,24.1627951659418
justifi,24.1627951659418
destitut,24.113931494574608
fool,24.077237256939725
rehoboam,23.944687325126967
floor,23.944687325126967
support,23.86684166558142
caesarea,23.78969781344689
consequ,23.78969781344689
christian,23.78969781344689
temptat,23.78969781344689
bibl,23.78969781344689
natur,23.761523269520488
proper,23.716166954273454
maidserv,23.684055910391436
bless,23.67487465418659
hamath,23.539601233751924
caleb,23.539601233751924
gilgal,23.539601233751924
jehoiakim,23.539601233751924
gath,23.539601233751924
spoil,23.520874385826964
blame,23.519667521689655
linen,23.25437593914817
carnal,23.203302390634022
ministri,23.203302390634022
end,23.169780363334745
fals,23.01178219807218
nathan,22.99137300036974
piti,22.99137300036974
saint,22.949973699275777
part,22.9270331219616
save,22.916691101856955
honey,22.872461904414877
cake,22.86704119850187
chronicl,22.86704119850187
wooden,22.86704119850187
dew,22.86704119850187
ahaziah,22.86704119850187
ramah,22.86704119850187
song,22.812554751267342
charg,22.769331912543773
consum,22.719624630706164
claim,22.715105352632918
parti,22.715105352632918
harlot,22.70667332544869
abid,22.699020542298275
instrument,22.616763807179165
shoulder,22.616763807179165
maintain,22.614206275847778
back,22.45699400323329
tempt,22.416465433972913
ascrib,22.416465433972913
dedic,22.371445388599373
final,22.323191095849186
elect,22.323191095849186
wheel,22.32161958870173
dislik,22.302841700106462
mim,22.302841700106462
capernaum,22.302841700106462
praiseworthi,22.302841700106462
absolut,22.302841700106462
bondserv,22.302841700106462
aris,22.280153077845263
syria,22.273735432227298
high,22.254485333926166
meat,22.2249963858984
singer,22.194481163251815
sihon,22.194481163251815
amaziah,22.194481163251815
jebusit,22.194481163251815
gatekeep,22.194481163251815
front,22.11578958912422
babi,22.02077648836859
opportun,22.02077648836859
amaz,22.02077648836859
forbear,22.02077648836859
delight,21.950940069303744
troubl,21.9435241359207
eaten,21.87120733151275
mere,21.862765765683132
travel,21.855589350846117
messag,21.855589350846117
foreign,21.786160519228996
levi,21.786160519228996
heir,21.731615480381432
prove,21.731574951541965
account,21.680897648860878
asham,21.67055490414549
valor,21.652017886416534
blemish,21.57853464805127
profan,21.57016219653383
jericho,21.57016219653383
inquir,21.5270273151095
heshbon,21.52192112800176
overlaid,21.52192112800176
beersheba,21.52192112800176
gibeon,21.52192112800176
shiloh,21.52192112800176
shame,21.407341801849316
lay,21.343390879188533
trial,21.323050746952667
arab,21.323050746952667
arous,21.290518001675498
window,21.290518001675498
ahaz,21.290518001675498
pestil,21.290518001675498
cri,21.271913635825452
taught,21.21227970093944
gateway,20.982580535962718
mix,20.951492005620352
haman,20.892201259046466
nois,20.882070265087503
lie,20.84235739232627
statement,20.81598558676603
ephesu,20.81598558676603
ayb,20.81598558676603
shu,20.81598558676603
prohibit,20.81598558676603
lazaru,20.81598558676603
experienc,20.81598558676603
baptist,20.81598558676603
barrier,20.81598558676603
puf,20.81598558676603
salih,20.81598558676603
trembl,20.805094649154245
abandon,20.621581043164987
avoid,20.621581043164987
mention,20.60668202645204
stern,20.547513238258844
inspir,20.547513238258844
blue,20.408071006259235
zebulun,20.408071006259235
samson,20.313321624640114
justic,20.1807781977734
acacia,20.176801057501653
ammonit,20.176801057501653
hilkiah,20.176801057501653
tribut,20.176801057501653
confid,19.946193668374264
helper,19.86164297451099
likewis,19.80913023517311
stream,19.80913023517311
line,19.755296777212834
weari,19.719631946946265
corner,19.719631946946265
harp,19.645812829591463
pleasant,19.61389092985543
herd,19.61389092985543
circumcis,19.57709803958918
lovingkind,19.504241022251595
jezreel,19.504241022251595
gedaliah,19.504241022251595
kirjath,19.504241022251595
hananiah,19.504241022251595
leah,19.504241022251595
asaph,19.504241022251595
kid,19.504241022251595
bold,19.491277146961178
west,19.424330250032526
live,19.389621495492513
provok,19.387619692545513
ad,19.34975693492293
sadduce,19.3291294734256
martha,19.3291294734256
alm,19.3291294734256
perdit,19.3291294734256
chast,19.3291294734256
alif,19.3291294734256
dragon,19.3291294734256
lam,19.3291294734256
properli,19.3291294734256
epistl,19.3291294734256
pearl,19.3291294734256
zechariah,19.304874477300867
forgav,19.178508257704458
regret,19.178508257704458
restor,19.141594316520862
pair,19.127865175482217
palac,19.10663105584611
angri,19.10500851740037
fellowship,19.075949096052934
whichev,19.075949096052934
destin,19.075949096052934
openli,19.075949096052934
leav,19.015235719081954
aroma,19.004034782490088
calam,18.982109484297446
thigh,18.975404006345357
lad,18.975404006345357
besieg,18.975404006345357
gideon,18.975404006345357
cherub,18.83168098700154
heav,18.83168098700154
record,18.816877450004114
evil,18.781157339863608
abhor,18.644147773910248
breath,18.618131678883987
face,18.598562983933203
tower,18.495719959277523
yoke,18.495719959277523
forest,18.363624823750875
awesom,18.3067828121451
cord,18.3067828121451
carcass,18.3067828121451
soldier,18.179473720840974
elam,18.159120951751486
micah,18.159120951751486
utensil,18.159120951751486
rebekah,18.159120951751486
sieg,18.159120951751486
valiant,18.159120951751486
shaphan,18.159120951751486
thread,18.159120951751486
gain,18.094364732873665
unawar,18.085448620930958
royal,17.98407847784515
gift,17.914563965772818
bewar,17.8511149358497
crow,17.84227336008517
worshipp,17.84227336008517
expiat,17.84227336008517
magdalen,17.84227336008517
exampl,17.84227336008517
rooster,17.84227336008517
titu,17.84227336008517
festu,17.84227336008517
andrew,17.84227336008517
chapter,17.84227336008517
infirm,17.84227336008517
despis,17.840830044833503
demand,17.789136417860824
violenc,17.78199720518023
queen,17.78199720518023
origin,17.740300286452808
despair,17.740300286452808
sackcloth,17.7246762321258
simeon,17.7246762321258
weapon,17.638415736722255
counselor,17.638415736722255
encompass,17.606423883331633
divorc,17.595916475249783
pan,17.48656091650143
wept,17.472729605994765
adam,17.466563257411856
murder,17.3830014981666
precept,17.3247229383049
decre,17.20046850645843
wail,17.16589983258072
guilt,17.154346428311158
spous,17.137518575920375
test,17.111806436940796
fierc,17.026717487064182
dug,16.970328191954557
nun,16.970328191954557
villag,16.92120757226327
expect,16.90263129923959
whirlwind,16.814000881251374
hook,16.814000881251374
ezra,16.814000881251374
kadesh,16.814000881251374
string,16.814000881251374
kohath,16.814000881251374
ahasueru,16.814000881251374
shallum,16.814000881251374
confess,16.753008556073958
show,16.684138779045142
